Year,Artist,Album,Song,Co-written with
2013,Becky G,Play It Again EP,"""Play It Again""","Rebbeca Marie Gomez, Joshua Coleman, Lukasz Gottwald, Niles Hollowell-Dhar, Henry Walter"
2013,Becky G,Play It Again EP,"""Can't Get Enough""","Rebbeca Marie Gomez, Armando C. Perez, Niles Hollowell-Dhar, Tzvetin Todorov, Gregor Salto, Lukasz Gottwald, Urales Vargas, Henry Walter"
2013,Backstreet Boys,In a World Like This,"""In a World Like This""","Kristian Lundin, Savan Kotecha"
2013,Cassadee Pope,Frame by Frame,"""Easier to Lie""","Savan Kotecha, Johan Schuster"
2013,Emblem3,Nothing to Lose,"""Nothing to Lose""","Johan Carlsson, Jacob Kasher Hindlin, Marco Borrero"
2013,G.R.L.,Music from and Inspired by The Smurfs 2,"""Vacation""","Lukasz Gottwald, Henry Walter, Bonnie McKee"
2013,Katy Perry,Prism,"""Roar""","Katy Perry, Lukasz Gottwald, Bonnie McKee, Henry Walter"
2013,Katy Perry,Prism,"""Legendary Lovers""","Katy Perry, Lukasz Gottwald, Bonnie McKee, Henry Walter"
2013,Katy Perry,Prism,"""Birthday""","Katy Perry, Lukasz Gottwald, Bonnie McKee, Henry Walter"
2013,Katy Perry,Prism,"""Walking on Air""","Katy Perry, Klas Åhlund, Caméla Leierth, Adam Baptiste"
2013,Katy Perry,Prism,"""Unconditionally""","Katy Perry, Lukasz Gottwald, Henry Walter"
2013,Katy Perry,Prism,"""Dark Horse""","Katy Perry, Jordan Houston, Lukasz Gottwald, Sarah Hudson, Henry Walter"
2013,Katy Perry,Prism,"""This Is How We Do""","Katy Perry, Klas Åhlund"
2013,Katy Perry,Prism,"""International Smile""","Katy Perry, Lukasz Gottwald, Henry Walter"
2013,Katy Perry,Prism,"""Ghost""","Katy Perry, Lukasz Gottwald, Bonnie McKee, Henry Walter"
2013,Katy Perry,Prism,"""Love Me""","Katy Perry, Christian Karlsson, Vincent Pontare, Magnus Lidehäll"
2014,Cher Lloyd,Sorry I'm Late,"""Dirty Love""","Cher Lloyd, Savan Kotecha, Johan Schuster, Jakob Jerlström, Ludvig Söderberg"
2014,MKTO,MKTO,"""Forever Until Tomorrow""","Carl Falk, Rami Yacoub, Savan Kotecha, Emanuel Kiriakou, Evan Bogart"
2014,G.R.L.,G.R.L.,"""Show Me What You Got""","Lukasz Gottwald, Henry Walter, Jacob Kasher Hindlin"
2014,G.R.L.,G.R.L.,"""Rewind""","Lukasz Gottwald, Henry Walter, Ammar Malik, Jacob Kasher Hindlin"
2014,Pitbull,Globalization,"""Wild Wild Love""","Lukasz Gottwald, Henry Walter, Ammar Malik, Armando Christian Pérez, Alexander Castillo Vasquez"
2014,Bonnie McKee,TBA,"""Everything But You""","Klas Åhlund, Bonnie McKee, John Newman"
2014,Shakira,Shakira,"""Dare (La La La)""","Shakira Isabel Mebarak Ripoll, Lukasz Gottwald, Mathieu Jomphe-Lepine, Henry Walter, Jay Singh, Raelene Arreguin, John J. Conte Jr."
2014,Zlatan,TBA,"""Du Gamla Du Fria""","Linus Eklöw, Traditional"
2014,Ariana Grande,My Everything,"""Problem""","Ilya Salmanzadeh, Amethyst Kelly, Savan Kotecha"
2014,Ariana Grande,My Everything,"""Break Free""","Savan Kotecha, Anton Zaslavski"
